data,model,set,class,precision,recall,f1-score,support,accuracy
counts,sklearn.ensemble.ExtraTreesClassifier,train,favor,0.8921568627450981,1.0,0.9430051813471504,91.0,
counts,sklearn.ensemble.ExtraTreesClassifier,train,neutral,0.8253968253968254,0.9629629629629629,0.8888888888888888,54.0,
counts,sklearn.ensemble.ExtraTreesClassifier,train,oppose,1.0,0.8857142857142857,0.9393939393939393,175.0,
counts,sklearn.ensemble.ExtraTreesClassifier,train,accuracy,,,,,0.93125
counts,sklearn.ensemble.ExtraTreesClassifier,train,macro avg,0.9058512293806412,0.9495590828924162,0.9237626698766596,320.0,
counts,sklearn.ensemble.ExtraTreesClassifier,train,weighted avg,0.9398678221288514,0.93125,0.9318981590516564,320.0,
counts,sklearn.ensemble.ExtraTreesClassifier,test,favor,0.2222222222222222,0.21052631578947367,0.21621621621621623,19.0,
counts,sklearn.ensemble.ExtraTreesClassifier,test,neutral,0.6,0.15789473684210525,0.25,19.0,
counts,sklearn.ensemble.ExtraTreesClassifier,test,oppose,0.5087719298245614,0.6904761904761905,0.5858585858585859,42.0,
counts,sklearn.ensemble.ExtraTreesClassifier,test,accuracy,,,,,0.45
counts,sklearn.ensemble.ExtraTreesClassifier,test,macro avg,0.4436647173489279,0.3529657477025898,0.3506916006916007,80.0,
counts,sklearn.ensemble.ExtraTreesClassifier,test,weighted avg,0.4623830409356725,0.45,0.41830210892710895,80.0,
counts,sklearn.ensemble.RandomForestClassifier,train,favor,0.9761904761904762,0.9010989010989011,0.937142857142857,91.0,
counts,sklearn.ensemble.RandomForestClassifier,train,neutral,0.9183673469387755,0.8333333333333334,0.8737864077669903,54.0,
counts,sklearn.ensemble.RandomForestClassifier,train,oppose,0.9144385026737968,0.9771428571428571,0.9447513812154696,175.0,
counts,sklearn.ensemble.RandomForestClassifier,train,accuracy,,,,,0.93125
counts,sklearn.ensemble.RandomForestClassifier,train,macro avg,0.9363321086010162,0.9038583638583638,0.9185602153751057,320.0,
counts,sklearn.ensemble.RandomForestClassifier,train,weighted avg,0.9326622126123176,0.93125,0.9306123679128895,320.0,
counts,sklearn.ensemble.RandomForestClassifier,test,favor,0.29411764705882354,0.2631578947368421,0.27777777777777773,19.0,
counts,sklearn.ensemble.RandomForestClassifier,test,neutral,0.5,0.05263157894736842,0.09523809523809525,19.0,
counts,sklearn.ensemble.RandomForestClassifier,test,oppose,0.5081967213114754,0.7380952380952381,0.6019417475728156,42.0,
counts,sklearn.ensemble.RandomForestClassifier,test,accuracy,,,,,0.4625
counts,sklearn.ensemble.RandomForestClassifier,test,macro avg,0.4341047894567664,0.35129490392648294,0.3249858735295628,80.0,
counts,sklearn.ensemble.RandomForestClassifier,test,weighted avg,0.4554062198649952,0.4625,0.404610687316998,80.0,
counts,sklearn.linear_model.LogisticRegression,train,favor,0.9647058823529412,0.9010989010989011,0.9318181818181819,91.0,
counts,sklearn.linear_model.LogisticRegression,train,neutral,0.9347826086956522,0.7962962962962963,0.8599999999999999,54.0,
counts,sklearn.linear_model.LogisticRegression,train,oppose,0.9047619047619048,0.9771428571428571,0.9395604395604394,175.0,
counts,sklearn.linear_model.LogisticRegression,train,accuracy,,,,,0.925
counts,sklearn.linear_model.LogisticRegression,train,macro avg,0.9347501319368328,0.8915126848460181,0.9104595404595405,320.0,
counts,sklearn.linear_model.LogisticRegression,train,weighted avg,0.9268744671781757,0.925,0.9239329108391608,320.0,
counts,sklearn.linear_model.LogisticRegression,test,favor,0.2631578947368421,0.2631578947368421,0.2631578947368421,19.0,
counts,sklearn.linear_model.LogisticRegression,test,neutral,0.2,0.05263157894736842,0.08333333333333333,19.0,
counts,sklearn.linear_model.LogisticRegression,test,oppose,0.5,0.6666666666666666,0.5714285714285715,42.0,
counts,sklearn.linear_model.LogisticRegression,test,accuracy,,,,,0.425
counts,sklearn.linear_model.LogisticRegression,test,macro avg,0.32105263157894737,0.32748538011695905,0.3059732664995823,80.0,
counts,sklearn.linear_model.LogisticRegression,test,weighted avg,0.3725,0.425,0.3822916666666667,80.0,
counts,sklearn.linear_model.RidgeClassifier,train,favor,0.9651162790697675,0.9120879120879121,0.9378531073446328,91.0,
counts,sklearn.linear_model.RidgeClassifier,train,neutral,0.9019607843137255,0.8518518518518519,0.8761904761904761,54.0,
counts,sklearn.linear_model.RidgeClassifier,train,oppose,0.9234972677595629,0.9657142857142857,0.9441340782122906,175.0,
counts,sklearn.linear_model.RidgeClassifier,train,accuracy,,,,,0.93125
counts,sklearn.linear_model.RidgeClassifier,train,macro avg,0.930191443714352,0.9098846832180166,0.9193925539157998,320.0,
counts,sklearn.linear_model.RidgeClassifier,train,weighted avg,0.9316983925194172,0.93125,0.9308824442806192,320.0,
counts,sklearn.linear_model.RidgeClassifier,test,favor,0.3157894736842105,0.3157894736842105,0.3157894736842105,19.0,
counts,sklearn.linear_model.RidgeClassifier,test,neutral,0.2222222222222222,0.10526315789473684,0.14285714285714285,19.0,
counts,sklearn.linear_model.RidgeClassifier,test,oppose,0.5,0.6190476190476191,0.5531914893617021,42.0,
counts,sklearn.linear_model.RidgeClassifier,test,accuracy,,,,,0.425
counts,sklearn.linear_model.RidgeClassifier,test,macro avg,0.3460038986354776,0.3467000835421888,0.3372793686343518,80.0,
counts,sklearn.linear_model.RidgeClassifier,test,weighted avg,0.3902777777777778,0.425,0.399354103343465,80.0,
counts,sklearn.neighbors.KNeighborsClassifier,train,favor,0.6455696202531646,0.5604395604395604,0.6,91.0,
counts,sklearn.neighbors.KNeighborsClassifier,train,neutral,0.39215686274509803,0.37037037037037035,0.3809523809523809,54.0,
counts,sklearn.neighbors.KNeighborsClassifier,train,oppose,0.7157894736842105,0.7771428571428571,0.7452054794520548,175.0,
counts,sklearn.neighbors.KNeighborsClassifier,train,accuracy,,,,,0.646875
counts,sklearn.neighbors.KNeighborsClassifier,train,macro avg,0.5845053188941577,0.5693175959842627,0.5753859534681453,320.0,
counts,sklearn.neighbors.KNeighborsClassifier,train,weighted avg,0.6412076997687816,0.646875,0.6424449608610567,320.0,
counts,sklearn.neighbors.KNeighborsClassifier,test,favor,0.23076923076923078,0.15789473684210525,0.18749999999999997,19.0,
counts,sklearn.neighbors.KNeighborsClassifier,test,neutral,0.21052631578947367,0.21052631578947367,0.21052631578947367,19.0,
counts,sklearn.neighbors.KNeighborsClassifier,test,oppose,0.5625,0.6428571428571429,0.6000000000000001,42.0,
counts,sklearn.neighbors.KNeighborsClassifier,test,accuracy,,,,,0.425
counts,sklearn.neighbors.KNeighborsClassifier,test,macro avg,0.33459851551956815,0.33709273182957394,0.33267543859649124,80.0,
counts,sklearn.neighbors.KNeighborsClassifier,test,weighted avg,0.40012019230769236,0.425,0.40953125,80.0,
counts,sklearn.neighbors.NearestCentroid,train,favor,0.35714285714285715,0.16483516483516483,0.22556390977443608,91.0,
counts,sklearn.neighbors.NearestCentroid,train,neutral,0.20304568527918782,0.7407407407407407,0.3187250996015937,54.0,
counts,sklearn.neighbors.NearestCentroid,train,oppose,0.6666666666666666,0.30857142857142855,0.42187499999999994,175.0,
counts,sklearn.neighbors.NearestCentroid,train,accuracy,,,,,0.340625
counts,sklearn.neighbors.NearestCentroid,train,macro avg,0.4089517363629039,0.40471577804911135,0.3220546697920099,320.0,
counts,sklearn.neighbors.NearestCentroid,train,weighted avg,0.5004097927241963,0.340625,0.34864248802487413,320.0,
counts,sklearn.neighbors.NearestCentroid,test,favor,0.23076923076923078,0.15789473684210525,0.18749999999999997,19.0,
counts,sklearn.neighbors.NearestCentroid,test,neutral,0.2653061224489796,0.6842105263157895,0.3823529411764706,19.0,
counts,sklearn.neighbors.NearestCentroid,test,oppose,0.6666666666666666,0.2857142857142857,0.4,42.0,
counts,sklearn.neighbors.NearestCentroid,test,accuracy,,,,,0.35
counts,sklearn.neighbors.NearestCentroid,test,macro avg,0.387580673294959,0.3759398496240601,0.3232843137254902,80.0,
counts,sklearn.neighbors.NearestCentroid,test,weighted avg,0.46781789638932497,0.35,0.34534007352941176,80.0,
counts,sklearn.neural_network.MLPClassifier,train,favor,0.9761904761904762,0.9010989010989011,0.937142857142857,91.0,
counts,sklearn.neural_network.MLPClassifier,train,neutral,0.9767441860465116,0.7777777777777778,0.8659793814432991,54.0,
counts,sklearn.neural_network.MLPClassifier,train,oppose,0.9015544041450777,0.9942857142857143,0.9456521739130435,175.0,
counts,sklearn.neural_network.MLPClassifier,train,accuracy,,,,,0.93125
counts,sklearn.neural_network.MLPClassifier,train,macro avg,0.9514963554606886,0.8910541310541311,0.9162581374997333,320.0,
counts,sklearn.neural_network.MLPClassifier,train,weighted avg,0.9354673128288548,0.93125,0.9297875532272524,320.0,
counts,sklearn.neural_network.MLPClassifier,test,favor,0.2857142857142857,0.3157894736842105,0.3,19.0,
counts,sklearn.neural_network.MLPClassifier,test,neutral,0.4,0.10526315789473684,0.16666666666666666,19.0,
counts,sklearn.neural_network.MLPClassifier,test,oppose,0.5,0.6428571428571429,0.5625000000000001,42.0,
counts,sklearn.neural_network.MLPClassifier,test,accuracy,,,,,0.4375
counts,sklearn.neural_network.MLPClassifier,test,macro avg,0.3952380952380952,0.3546365914786967,0.3430555555555556,80.0,
counts,sklearn.neural_network.MLPClassifier,test,weighted avg,0.4253571428571428,0.4375,0.40614583333333343,80.0,
counts,sklearn.naive_bayes.BernoulliNB,train,favor,0.9428571428571428,0.3626373626373626,0.5238095238095237,91.0,
counts,sklearn.naive_bayes.BernoulliNB,train,neutral,1.0,0.16666666666666666,0.2857142857142857,54.0,
counts,sklearn.naive_bayes.BernoulliNB,train,oppose,0.6268115942028986,0.9885714285714285,0.7671840354767184,175.0,
counts,sklearn.naive_bayes.BernoulliNB,train,accuracy,,,,,0.671875
counts,sklearn.naive_bayes.BernoulliNB,train,macro avg,0.8565562456866805,0.5059584859584859,0.5255692816668426,320.0,
counts,sklearn.naive_bayes.BernoulliNB,train,weighted avg,0.7796625905797102,0.671875,0.6167263884489493,320.0,
counts,sklearn.naive_bayes.BernoulliNB,test,favor,0.5,0.2631578947368421,0.3448275862068966,19.0,
counts,sklearn.naive_bayes.BernoulliNB,test,neutral,0.0,0.0,0.0,19.0,
counts,sklearn.naive_bayes.BernoulliNB,test,oppose,0.5294117647058824,0.8571428571428571,0.6545454545454545,42.0,
counts,sklearn.naive_bayes.BernoulliNB,test,accuracy,,,,,0.5125
counts,sklearn.naive_bayes.BernoulliNB,test,macro avg,0.34313725490196073,0.37343358395989973,0.33312434691745035,80.0,
counts,sklearn.naive_bayes.BernoulliNB,test,weighted avg,0.3966911764705882,0.5125,0.42553291536050153,80.0,
counts,sklearn.naive_bayes.MultinomialNB,train,favor,0.9411764705882353,0.5274725274725275,0.676056338028169,91.0,
counts,sklearn.naive_bayes.MultinomialNB,train,neutral,1.0,0.24074074074074073,0.3880597014925373,54.0,
counts,sklearn.naive_bayes.MultinomialNB,train,oppose,0.67578125,0.9885714285714285,0.802784222737819,175.0,
counts,sklearn.naive_bayes.MultinomialNB,train,accuracy,,,,,0.73125
counts,sklearn.naive_bayes.MultinomialNB,train,macro avg,0.8723192401960785,0.5855948989282322,0.6223000874195085,320.0,
counts,sklearn.naive_bayes.MultinomialNB,train,weighted avg,0.8059649299172793,0.73125,0.6967612175633711,320.0,
counts,sklearn.naive_bayes.MultinomialNB,test,favor,0.26666666666666666,0.21052631578947367,0.23529411764705882,19.0,
counts,sklearn.naive_bayes.MultinomialNB,test,neutral,0.3333333333333333,0.05263157894736842,0.09090909090909091,19.0,
counts,sklearn.naive_bayes.MultinomialNB,test,oppose,0.5645161290322581,0.8333333333333334,0.6730769230769231,42.0,
counts,sklearn.naive_bayes.MultinomialNB,test,accuracy,,,,,0.5
counts,sklearn.naive_bayes.MultinomialNB,test,macro avg,0.3881720430107527,0.3654970760233918,0.3330933772110243,80.0,
counts,sklearn.naive_bayes.MultinomialNB,test,weighted avg,0.43887096774193546,0.5,0.4308386466474702,80.0,
counts,sklearn.svm.LinearSVC,train,favor,0.8348623853211009,1.0,0.9099999999999999,91.0,
counts,sklearn.svm.LinearSVC,train,neutral,0.8571428571428571,0.8888888888888888,0.8727272727272727,54.0,
counts,sklearn.svm.LinearSVC,train,oppose,0.9870967741935484,0.8742857142857143,0.9272727272727272,175.0,
counts,sklearn.svm.LinearSVC,train,accuracy,,,,,0.9125
counts,sklearn.svm.LinearSVC,train,macro avg,0.8930340055525021,0.921058201058201,0.9033333333333333,320.0,
counts,sklearn.svm.LinearSVC,train,weighted avg,0.921875396355642,0.9125,0.9131562500000001,320.0,
counts,sklearn.svm.LinearSVC,test,favor,0.21428571428571427,0.47368421052631576,0.29508196721311475,19.0,
counts,sklearn.svm.LinearSVC,test,neutral,0.4,0.10526315789473684,0.16666666666666666,19.0,
counts,sklearn.svm.LinearSVC,test,oppose,0.42424242424242425,0.3333333333333333,0.3733333333333333,42.0,
counts,sklearn.svm.LinearSVC,test,accuracy,,,,,0.3125
counts,sklearn.svm.LinearSVC,test,macro avg,0.3461760461760462,0.30409356725146197,0.2783606557377049,80.0,
counts,sklearn.svm.LinearSVC,test,weighted avg,0.3686201298701299,0.3125,0.305665300546448,80.0,
counts,sklearn.tree.DecisionTreeClassifier,train,favor,0.8921568627450981,1.0,0.9430051813471504,91.0,
counts,sklearn.tree.DecisionTreeClassifier,train,neutral,0.8253968253968254,0.9629629629629629,0.8888888888888888,54.0,
counts,sklearn.tree.DecisionTreeClassifier,train,oppose,1.0,0.8857142857142857,0.9393939393939393,175.0,
counts,sklearn.tree.DecisionTreeClassifier,train,accuracy,,,,,0.93125
counts,sklearn.tree.DecisionTreeClassifier,train,macro avg,0.9058512293806412,0.9495590828924162,0.9237626698766596,320.0,
counts,sklearn.tree.DecisionTreeClassifier,train,weighted avg,0.9398678221288514,0.93125,0.9318981590516564,320.0,
counts,sklearn.tree.DecisionTreeClassifier,test,favor,0.21052631578947367,0.21052631578947367,0.21052631578947367,19.0,
counts,sklearn.tree.DecisionTreeClassifier,test,neutral,0.3,0.15789473684210525,0.20689655172413793,19.0,
counts,sklearn.tree.DecisionTreeClassifier,test,oppose,0.49019607843137253,0.5952380952380952,0.5376344086021505,42.0,
counts,sklearn.tree.DecisionTreeClassifier,test,accuracy,,,,,0.4
counts,sklearn.tree.DecisionTreeClassifier,test,macro avg,0.33357413140694875,0.321219715956558,0.3183524253719207,80.0,
counts,sklearn.tree.DecisionTreeClassifier,test,weighted avg,0.37860294117647053,0.4,0.38139599555061177,80.0,
counts,sklearn.tree.ExtraTreeClassifier,train,favor,0.8921568627450981,1.0,0.9430051813471504,91.0,
counts,sklearn.tree.ExtraTreeClassifier,train,neutral,0.8253968253968254,0.9629629629629629,0.8888888888888888,54.0,
counts,sklearn.tree.ExtraTreeClassifier,train,oppose,1.0,0.8857142857142857,0.9393939393939393,175.0,
counts,sklearn.tree.ExtraTreeClassifier,train,accuracy,,,,,0.93125
counts,sklearn.tree.ExtraTreeClassifier,train,macro avg,0.9058512293806412,0.9495590828924162,0.9237626698766596,320.0,
counts,sklearn.tree.ExtraTreeClassifier,train,weighted avg,0.9398678221288514,0.93125,0.9318981590516564,320.0,
counts,sklearn.tree.ExtraTreeClassifier,test,favor,0.2631578947368421,0.2631578947368421,0.2631578947368421,19.0,
counts,sklearn.tree.ExtraTreeClassifier,test,neutral,0.25,0.15789473684210525,0.1935483870967742,19.0,
counts,sklearn.tree.ExtraTreeClassifier,test,oppose,0.5102040816326531,0.5952380952380952,0.5494505494505494,42.0,
counts,sklearn.tree.ExtraTreeClassifier,test,accuracy,,,,,0.4125
counts,sklearn.tree.ExtraTreeClassifier,test,macro avg,0.34112065878983167,0.3387635756056809,0.33538561042805526,80.0,
counts,sklearn.tree.ExtraTreeClassifier,test,weighted avg,0.38973214285714286,0.4125,0.3969292803970223,80.0,
counts,xgboost.XGBClassifier,train,0,0.9378531073446328,0.9485714285714286,0.9431818181818182,175.0,
counts,xgboost.XGBClassifier,train,1,0.925531914893617,0.9560439560439561,0.9405405405405406,91.0,
counts,xgboost.XGBClassifier,train,2,0.9183673469387755,0.8333333333333334,0.8737864077669903,54.0,
counts,xgboost.XGBClassifier,train,accuracy,,,,,0.93125
counts,xgboost.XGBClassifier,train,macro avg,0.9272507897256751,0.9126495726495727,0.919169588829783,320.0,
counts,xgboost.XGBClassifier,train,weighted avg,0.9310610461728868,0.93125,0.9307202293450777,320.0,
counts,xgboost.XGBClassifier,test,0,0.5192307692307693,0.6428571428571429,0.574468085106383,42.0,
counts,xgboost.XGBClassifier,test,1,0.2857142857142857,0.3157894736842105,0.3,19.0,
counts,xgboost.XGBClassifier,test,2,0.42857142857142855,0.15789473684210525,0.23076923076923078,19.0,
counts,xgboost.XGBClassifier,test,accuracy,,,,,0.45
counts,xgboost.XGBClassifier,test,macro avg,0.4111721611721612,0.37218045112781956,0.3684124386252046,80.0,
counts,xgboost.XGBClassifier,test,weighted avg,0.44223901098901097,0.45,0.4276534369885434,80.0,
tfidf,sklearn.ensemble.ExtraTreesClassifier,train,favor,0.8921568627450981,1.0,0.9430051813471504,91.0,
tfidf,sklearn.ensemble.ExtraTreesClassifier,train,neutral,0.8253968253968254,0.9629629629629629,0.8888888888888888,54.0,
tfidf,sklearn.ensemble.ExtraTreesClassifier,train,oppose,1.0,0.8857142857142857,0.9393939393939393,175.0,
tfidf,sklearn.ensemble.ExtraTreesClassifier,train,accuracy,,,,,0.93125
tfidf,sklearn.ensemble.ExtraTreesClassifier,train,macro avg,0.9058512293806412,0.9495590828924162,0.9237626698766596,320.0,
tfidf,sklearn.ensemble.ExtraTreesClassifier,train,weighted avg,0.9398678221288514,0.93125,0.9318981590516564,320.0,
tfidf,sklearn.ensemble.ExtraTreesClassifier,test,favor,0.26666666666666666,0.21052631578947367,0.23529411764705882,19.0,
tfidf,sklearn.ensemble.ExtraTreesClassifier,test,neutral,0.5,0.05263157894736842,0.09523809523809525,19.0,
tfidf,sklearn.ensemble.ExtraTreesClassifier,test,oppose,0.5079365079365079,0.7619047619047619,0.6095238095238095,42.0,
tfidf,sklearn.ensemble.ExtraTreesClassifier,test,accuracy,,,,,0.4625
tfidf,sklearn.ensemble.ExtraTreesClassifier,test,macro avg,0.42486772486772484,0.341687552213868,0.3133520074696545,80.0,
tfidf,sklearn.ensemble.ExtraTreesClassifier,test,weighted avg,0.44875,0.4625,0.3985014005602241,80.0,
tfidf,sklearn.ensemble.RandomForestClassifier,train,favor,0.9444444444444444,0.9340659340659341,0.9392265193370165,91.0,
tfidf,sklearn.ensemble.RandomForestClassifier,train,neutral,0.9555555555555556,0.7962962962962963,0.8686868686868687,54.0,
tfidf,sklearn.ensemble.RandomForestClassifier,train,oppose,0.918918918918919,0.9714285714285714,0.9444444444444445,175.0,
tfidf,sklearn.ensemble.RandomForestClassifier,train,accuracy,,,,,0.93125
tfidf,sklearn.ensemble.RandomForestClassifier,train,macro avg,0.9396396396396396,0.9005969339302672,0.9174526108227766,320.0,
tfidf,sklearn.ensemble.RandomForestClassifier,train,weighted avg,0.9323601726726727,0.93125,0.9301765060829288,320.0,
tfidf,sklearn.ensemble.RandomForestClassifier,test,favor,0.3076923076923077,0.21052631578947367,0.25,19.0,
tfidf,sklearn.ensemble.RandomForestClassifier,test,neutral,0.5,0.05263157894736842,0.09523809523809525,19.0,
tfidf,sklearn.ensemble.RandomForestClassifier,test,oppose,0.5230769230769231,0.8095238095238095,0.6355140186915887,42.0,
tfidf,sklearn.ensemble.RandomForestClassifier,test,accuracy,,,,,0.4875
tfidf,sklearn.ensemble.RandomForestClassifier,test,macro avg,0.4435897435897436,0.35756056808688386,0.3269173713098947,80.0,
tfidf,sklearn.ensemble.RandomForestClassifier,test,weighted avg,0.4664423076923077,0.4875,0.4156389074321317,80.0,
tfidf,sklearn.linear_model.LogisticRegression,train,favor,0.9516129032258065,0.6483516483516484,0.7712418300653595,91.0,
